,Length,Linear,Binary
0,1,1.3800000000063762e-06,1.7400000000389327e-06
1,10,1.480000000020354e-06,2.4399999999591416e-06
2,100,4.959999999987197e-06,4.660000000056286e-06
3,1000,4.5280000000014196e-05,3.181999999997131e-05
4,10000,0.0004539000000000071,0.0003604800000000186
5,100000,0.004706619999999972,0.004259120000000038
