,Length,Bubble,Insertion,Select,Merge,Quick,Count,Radix
0,1,6.287000005045229e-06,3.528999997115534e-06,4.404000009117226e-06,0.0012392549999731273,0.0004245019999871147,0.0027802189999874827,0.00023923000003378547
1,10,1.8165000000180953e-05,8.01199999500568e-06,5.735000002005108e-06,4.25599978370883e-06,3.546399989318161e-05,0.00015039599998090125,2.4308999854838476e-05
2,100,0.0012551089999988108,7.444199999895318e-05,1.8296999996891827e-05,1.8001000171352644e-05,0.00017392999984622293,0.0001723419998143072,0.00011527500009833602
3,1000,0.21486922700000832,0.0002445460000046751,9.306299999423118e-05,0.00016520600001967978,0.0026653869999790913,0.000636418999874877,0.001148373999967589
4,10000,17.52873966099999,0.0026349999999979445,0.0008052809999981037,0.0019691099998908612,0.04264141699991342,0.004369493000012881,0.011551093999969453
5,100000,1828.453731228,0.0296461249999993,0.010110253999982888,0.02426438599991343,0.7576068959999702,0.04975213199986683,0.1276392140000553
