,Length,Linear,Binary
0,1,1.3999999999736445e-06,2.4000000000246045e-06
1,10,1.4799999999981495e-06,3.059999999921459e-06
2,100,4.739999999969768e-06,4.260000000000374e-06
3,1000,4.221999999995951e-05,1.102000000008374e-05
4,10000,0.0004313799999999812,7.328000000001999e-05
5,100000,0.004654119999999961,0.000984700000000016
